name,num,units,fall,spring,prereqs,coreqs
"Educational Goals, Instruction, and Assessment",85738,9,1,0,[],[]
Mathematical Fundamentals for Robotics,16811,12,1,0,[],[]
Evolutionary Psychology,85352,9,0,1,"[[85102], [85211], [85221], [85241], [85251]]",[]
Senior Thesis,85601,9,1,0,[],[]
Major Studio (Voice),57500,9,1,1,[],[]
Major Studio (Piano),57501,9,1,1,[],[]
Study Abroad,57050,0,1,0,[],[]
Operations Research I,21292,9,0,1,"[[21122, 21241], [21122, 21242]]",[]
Putnam Seminar,21295,3,1,0,[],[]
Major Studio (Violin),57505,9,1,1,[],[]
Major Studio (Viola),57506,9,1,1,[],[]
Natural Language Processing,11611,12,0,1,[],[]
Major Studio (Double Bass),57508,9,1,1,[],[]
Major Studio (Guitar),57509,9,1,1,[],[]
Cellular and Molecular Biotechnology,42321,9,1,0,"[[6262], [42202]]",[]
Scientific Research in Education,85436,9,0,1,[],[]
Organizational Learning and Strategy,45842,6,1,0,[],[]
Organization Power and Influence,45843,6,0,1,[],[]
Negotiations,45840,6,1,1,[],[]
Team Conflict and Negotiation,45841,6,0,1,[],[]
Grad Screenwriting IV,54888,15,0,1,[],[]
Cross Cultural Management and Ethics,45847,6,0,1,[],[]
Furniture Design & Construction,48564,9,0,1,"[[48105], [48470], [48473]]",[]
ETC Cooperative Education,53600,36,1,1,[],[]
"Advanced CAD, BIM, and 3D Visualization",48568,9,1,0,[[830]],[]
GIS/CAFM,48569,9,0,1,"[[48120], [48205]]",[]
School of Drama Collaboration Project,54880,6,0,1,[],[]
Grad Media Design Skills,54881,3,1,1,[],[]
Game Design,53609,12,1,1,[],[]
Visual Story,53608,12,1,0,[],[]
Advanced Information Security and Privacy,46869,6,1,0,[],[]
Technical Japanese,82374,9,0,1,[[227]],[]
Internship,27995,1,1,1,[],[]
Laboratory IV: Molecular Spectroscopy and Dynamics,9322,12,0,1,"[[9221], [9331], [9344]]",[[934]]
Physical Chemistry (Quantum): Microscopic Principles of Physical Chemistry,9344,9,1,0,"[[9105, 33106], [9105, 33111], [9107, 33106], [9107, 33111]]",[[923]]
Introduction to Human Computer Interaction for Technology Executives,46863,6,1,0,[],[]
Laboratory III: Molecular Design and Synthesis,9321,12,1,0,"[[9218, 9222], [9220, 9222]]",[]
Innovation Ecosystems,46865,6,1,0,[],[]
Great Practical Ideas for Computer Scientists,15131,2,1,0,[],[]
System Architecture for Managers,46867,6,0,1,[],[]
Mobile & Pervasive Computing Services,46866,6,0,1,[],[]
Graduate Dance Lighting Design,54952,2,1,0,[],[]
Lighting Thesis,54953,9,1,0,[],[]
Graduate Concert Lighting Design,54951,9,1,0,[],[]
Graduate Directing: Directors Series Third Year Thesis Production,54957,15,1,0,[],[]
Special Topics in Communications,18859,12,1,0,[],[]
Graduate Production Data Manipulation,54955,6,1,0,[],[]
Probability,21721,12,0,1,[[172]],[]
Computational Methods for Biological Modeling and Simulation,3512,9,1,0,"[[3121], [15122]]",[]
Computational Molecular Biology and Genomics,3511,9,1,0,"[[3121], [15122]]",[]
Chemical Thermodynamics,9611,6,0,1,"[[9231], [9345]]",[]
Directing IV,54422,6,0,1,[],[]
Demand Management & Price Optimization,45860,6,1,0,[],[]
Readings In Psychology,85505,3,1,0,[],[]
Sophomore Research Project,6200,3,1,1,[],[]
"Yucatan on Site/Sight: Mayas, Missions Haciendas:",48361,6,0,1,[],[]
"Stress, Coping and Well-Being",85501,9,0,1,"[[85310], [85320], [85340]]",[]
Solid Mechanics Lab,12232,3,0,1,[[221]],[[223]]
Seminar in Information Systems III:,47953,6,1,0,[],[]
"Rediscovering Antiquity:Travelers, Archeologists & Architects in Mediterranean",48368,9,0,1,[[824]],[]
Interactive Media Design Management,70637,9,0,1,[],[]
Research in Psychology,85508,1,0,1,[],[]
Doctoral Seminar in Information Systems II,47952,6,1,0,[],[]
Graduate Television Lighting Design,54778,2,1,1,[],[]
Special Topics in Graphics: Physically Based Character Animation,15869,12,1,0,[],[]
Advanced Cloud Computing,15719,12,1,0,[],[]
SP TOPICS: Invention and Innovation for Materials Intensive Technologies Part 2,27502,4.5,1,0,[],[]
Television Lighting Design,54478,1,1,0,[],[]
Mini-Course in Special Relativity,33213,4,1,1,"[[33107], [33112], [33132]]",[]
Physics III: Modern Essentials,33211,10,1,1,"[[33107], [33112], [33132]]",[]
"Colloids, Polymers and Surfaces Laboratory II",6802,3,0,1,[],[]
Advanced Operating Systems and Distributed Systems,15712,12,1,0,[],[]
Chemical Engineering Graduate Seminar,6800,1,1,1,[],[]
"Colloids, Polymers & Surfaces Laboratory I",6801,9,1,0,[],[]
Stage Direction,57870,3,0,1,[],[]
Introduction to Music Technology (self-paced),57871,6,1,1,[],[]
Creative Orchestration,57872,6,1,0,[],[]
Student Taught Course (StuCo):Scottish Highland Dance,98151,3,0,1,[],[]
Music in the Urban School,57874,9,0,1,[],[]
Music in the Elementary School,57875,6,1,0,[],[]
Music in the Secondary School,57876,6,0,1,[],[]
Dalcroze Eurhythmics Workshop,57878,3,1,1,[],[]
Dalcroze Eurhythmics Workshop,57879,3,1,1,[],[]
Architecture Design Studio: Urban Design Build Studio,48414,18,0,1,[],[]
Architecture Design Studio: Speculative Design Studio,48415,6,0,1,[[830]],[]
Architecture Design Studio: Urban Laboratory,48412,18,1,1,[[810]],[]
Special Topics in Applied Finite Element Analysis,24650,12,0,0,[],[]
Architecture Design Studio: Computational Design Studio,48410,18,0,1,"[[33106], [48115]]",[]
Architecture Design Studio: Sustainable Design Studio,48411,18,0,1,[],[]
IT Business Leadership,95775,6,1,0,[],[]
Biomedical Engineering Laboratory,3206,9,1,1,"[[3121], [42101]]",[]
Elementary Russian II,82192,12,0,1,[[219]],[]
Data Structures and Algorithms,95771,12,1,1,[],[]
Undergraduate Colloquium for Sophomores,3202,1,0,1,[],[]
Undergraduate Colloquium for Sophomores,3201,1,1,0,[],[]
Corporate Restructuring,45921,6,0,1,[],[]
Modern Arabic Literature,82447,9,0,1,[],[]
Advanced Japanese I,82371,9,1,0,[[227]],[]
Operations Management,92872,6,1,0,[],[]
Special Topics in Sound Design,54398,9,0,0,"[[54267], [54268]]",[]
Decoding Media,54399,6,1,0,[],[]
Innovation and Entrepreneurship II,96820,6,1,0,[],[]
Spatial Concepts for Non-Architects II,48096,9,0,1,[],[]
Interactive Marketing,70488,6,0,1,[[38]],[]
Spatial Concepts for Non-Architects I,48095,10,1,1,[],[]
Composition for Theatrical Sound Design 2,54390,6,0,1,[],[]
Media Design Skills,54391,3,1,1,[],[]
Scenic Stagecraft: 2D Drawing and Rendering,54392,4,0,1,[],[]
My True Voice,54393,6,1,0,[],[]
Internship,54395,6,1,0,[],[]
Internship,54396,2,0,1,[],[]
Set Theory II,21702,12,0,1,[],[]
Managing and Leading Research and Development,18703,12,1,0,[],[]
Basic Design,54171,6,1,0,[],[]
Basic Design,54172,6,0,1,[],[]
Rhetoric Corpus Analysis,76393,9,0,1,[],[]
Research in English,76394,9,0,1,[[629]],[]
Financial Engineering: Securitization and Structured Products,46683,5,1,0,[],[]
Conservatory Hour,54176,1,0,1,[],[]
Foundations of Drama I,54177,6,1,0,[],[]
Foundations of Drama I,54178,6,0,1,[],[]
Entertainment Rigging,54376,3,0,1,[[447]],[]
Masters Research,15669,9,0,1,[],[]
Basic 3D Prototyping,51824,6,0,1,[],[]
Urban Revitalization,79394,9,0,1,[],[]
Music and Society in 19th and 20th Century Europe and the U.S.,79396,9,0,1,[],[]
Computational Photography,15663,12,1,0,[],[]
Fluid Mechanics,24231,10,0,1,"[[21122, 33106], [21123, 33106]]",[]
Independent Study in Creative Writing,76303,3,1,1,[],[]
Computer Game Programming,15666,12,1,0,[],[]
Technical Direction II,54378,9,0,1,[[427]],[]
Scenic Design Studio: Drafting,54379,4,1,0,[],[]
Design & Policy for Humanitarian Impact,94831,12,1,0,[],[]
South Asian Literature,76354,9,0,1,[[610]],[]
Black and White Photography II,62241,10,1,1,"[[60141], [62141]]",[]
Business Intelligence & Data Mining SAS,94832,6,1,1,[],[]
Introduction to Hot Glass I,62247,3,1,1,[],[]
Applied Econometics I,94834,6,1,0,[],[]
Portrait Photography,62245,10,1,0,"[[60141], [62141]]",[]
Supervised Reading in Condensed Matter Physics,33895,1,1,1,[],[]
Introduction to Biological Laboratory Practices,3342,1,1,0,[],[[334]]
Experimental Techniques in Molecular Biology,3343,12,1,0,"[[3231, 9222], [3232, 9222]]",[[333]]
Communicating in the Global Marketplace,76718,9,0,1,[],[]
Supervised Reading in Mathematical Physics,33896,1,1,1,[],[]
Experimental Biochemistry,3344,12,0,1,"[[3231, 3343], [3232, 3343]]",[]
Wireless Network Security,18637,12,0,1,[],[]
Economics of Contracts,47818,6,1,0,[],[]
Introduction to Information Security,18631,12,1,0,[],[]
Fundamentals of Web Design,67103,3,0,1,[],[]
CONCEPTS OF INFORMATION SYSTEMS,67102,9,1,0,[],[]
Concepts of Information Systems,67101,6,0,1,[],[]
Information Systems Freshman Workshop,67100,1,1,0,[],[]
Study Abroad,57051,0,0,1,[],[]
Mobile Security,18638,12,1,0,[],[]
Big Data Analytics,67362,6,0,1,[],[]
"Interdisciplinary Studies in Listening, Culture, and Technology",76352,9,1,0,[],[]
Computer Networks,15441,12,1,1,[[521]],[]
Distributed Systems,15440,12,1,1,[[521]],[]
Pro-Social Behavior,85758,9,0,1,[],[]
Computer Architecture,18740,12,1,0,[],[]
Student Taught Courses (StuCo): Sneakerology 101,98094,3,0,1,[],[]
Advanced DP3: Printstallation,60467,10,0,1,[[25]],[]
Engineering Distributed Systems,15449,9,0,1,[],[]
Scenic Design: Fundamentals,54250,6,0,1,"[[54169], [54171], [54172]]",[]
Graduate Scenic Stagecraft: 2D Drawing and Rendering,54872,4,0,1,[],[]
Graduate Seminar in Media,54875,6,1,0,[],[]
Econometrics I,47811,6,1,0,[],[]
Studies in Financial Engineering,45925,6,1,0,[],[]
Game Theory and Applications,47817,6,1,0,[],[]
Health Care Quality,92897,6,1,1,[],[]
Planning and Testing Documents,76359,9,1,0,"[[76270], [76271], [76272], [76390]]",[]
Innovation Ecosystems,8765,6,1,0,[],[]
PTM Thesis,54970,18,0,1,[],[]
Mobile Pervasive Computing Project,8767,9,0,1,[],[]
Mobile and Pervasive Computing Services,8766,6,0,1,[],[]
Information Security and Privacy,8761,6,1,0,[],[]
Professional Seminar,76300,3,1,0,[],[]
Introduction to Human Computer Interaction for Technology Executives,8763,6,1,0,[],[]
Dalcroze Pedagogy/Practice Teaching,57892,3,0,1,[],[]
History of German Film,76409,9,0,1,[],[]
Study Abroad,79051,0,0,1,[],[]
Mobile Pervasive Computing Project,8769,1,0,1,[],[]
Fixed-Income Investments,45924,6,1,0,[],[]
Strategic Health Care Marketing,92890,6,0,1,[],[]
Discourse Analysis,76884,9,1,0,[],[]
Web Design,76887,9,1,1,[],[]
"Managing Mergers, Alliances and Divestitures",92893,12,0,1,[],[]
History of Rhetoric,76882,9,0,1,[],[]
Behavioral Economics,88360,9,1,0,"[[21112, 73100], [21112, 73150], [21112, 88220], [21120, 73100], [21120, 73150], [21120, 88220]]",[]
Morality Play: Laboratory for Interactive Media and Values Education,80391,12,0,1,[],[]
Infrastructure Management,92892,6,1,1,[],[]
Web Design Lab,76888,3,1,1,[],[]
Behavioral Economics and Public Policy,88365,9,0,1,"[[73100], [73150], [88220]]",[]
Behavior Economics in the Wild,88367,9,0,1,[[620]],[]
Design & Policy for Humanitarian Impact,51473,9,1,0,[],[]
Design Practicum,51470,3,1,1,[],[]
Study Abroad,51051,0,0,1,[],[]
Senior Thesis,80595,3,1,1,[],[]
Upper Level Economics Elective Transfer Credit,73305,9,1,0,[],[]
Study Abroad,82050,0,1,0,[],[]
Study Abroad,82051,0,0,1,[],[]
Designed Fictions & Imagined Futures,51478,9,0,1,[],[]
M.F.A. Studio,60703,12,1,1,[],[]
Green Computing:,8540,9,0,1,[],[]
Morality Play: Laboratory for Interactive Media and Values Eduction,80691,12,0,1,[],[]
Dissertation Research,85981,0,1,1,[],[]
Theatre Lab for Undergraduates,54409,4,1,0,[],[]
Electron Optical Methods Of Materials,27763,12,0,1,[],[]
Special Topics: Kinetics of Metallurgical Reactions and Processes,27761,6,1,0,[],[]
Diffusion in Materials,27766,6,1,0,[],[]
Career Services Workshop,90986,0,1,1,[],[]
H&SS Senior Honors Thesis I,66501,9,1,1,[],[]
H&SS Senior Honors Thesis II,66502,9,1,1,[[650]],[]
Convocation,90981,0,1,0,[],[]
Dialects for the Stage,54304,6,0,1,"[[54203], [54204]]",[]
New Play Collaboration,54254,9,0,1,[],[]
Seminar on Formal Epistemology,80521,9,1,0,[],[]
"The Economics of Ideas: Growth, Innovation and Intellectual Property",73474,9,0,1,"[[21120, 21256, 73100, 73230], [21120, 21259, 73100, 73230]]",[]
Studies in Classical Literature: Books You Should Have Read By Now,76221,9,0,1,[[610]],[]
Reading and Research in HCI,5997,24,1,1,[],[]
Guitar Test (Music Ed),57394,0,1,1,[],[]
Seminar for Peer Tutors,99250,4.5,0,1,[],[]
Topics in Hispanic Studies:,82455,9,0,1,[[234]],[]
Introduction to Probability Modeling,36410,9,0,1,"[[21325], [36217], [36225], [36625]]",[]
Dialects for the Stage,54303,6,1,0,"[[54203], [54204]]",[]
Studies in Latin American Literature and Culture:,82451,9,1,0,[[234]],[]
Design History I,51271,9,1,0,[],[]
Outreach Performance,57390,0,1,1,[],[]
Freshman Seminar: The Uses and Abuses of Haiti,82188,9,0,1,[],[]
Managing Quality Improvement,91844,12,0,1,[],[]
Power and Influence,91843,6,1,1,[],[]
Ethical Theory,80230,9,0,1,[],[]
Major Studio (Composition),57721,9,1,1,[],[]
Probability and Estimation Methods for Engineering Systems,24704,12,1,0,[],[]
"Global Competitiveness: Firms, Nations and Technological Change",19411,9,1,0,[],[]
Keyboard Studies (Music Ed),57392,3,1,1,[[739]],[]
Freshman Seminar: Introduction to Russian Culture,82186,9,0,1,[],[]
Mathematical Techniques in Engineering,24701,12,1,0,[],[]
Numerical Methods in Engineering,24703,12,1,1,[],[]
Evolution Of Warfare,32310,9,0,1,[],[]
Naval Ship Systems I-Engineering,32311,9,1,0,[],[]
Naval Ship Systems II-Weapons,32312,9,0,1,[],[]
Water Technology Innovation and Policy,19365,9,0,1,[],[]
Advanced Gender Studies,76341,9,1,0,[[610]],[]
Intermediate Electricity and Magnetism I,33338,10,1,0,"[[21259], [33232]]",[]
Undergraduate Research,88399,1,1,1,[],[]
Policy and Politics in American Institutions,90714,12,0,1,[],[]
Introduction to Sustainable Engineering,12712,12,1,0,[],[]
Special Topics:,12711,12,0,0,[],[]
Health Finance,92882,6,1,0,[],[]
Empirical Research for Social Science and Policy,88252,9,0,1,"[[36201], [36207], [70207]]",[]
Environmental Life Cycle Assessment,12714,12,0,1,"[[12421, 12706], [12712]]",[]
Statistical Process Control,92881,6,1,0,[],[]
"Stress, Coping and Well-Being",85701,9,0,1,[],[]
Sustainable Engineering Project,12718,12,0,1,[],[]
Sound Design Thesis,54993,9,1,0,[],[]
Production Preparation II,54259,9,1,0,[],[]
Intermediate Chinese II,82232,12,0,1,[[223]],[]
Business Acting,70350,9,1,1,[],[]
Kiln Casting,62455,3,1,1,[],[]
Industrial Design Fundamentals Grad II: ID in Practice,51767,6,1,0,[],[]
Second Language Acquisition Dissertation Research,82989,3,1,1,[],[]
Freshman Seminar: How Children Learn Mathematics,85121,9,0,1,[],[]
Psychological Models of Decision Making,88388,9,1,0,"[[21112, 36201], [21120, 36201]]",[]
Terrorism and Insurgency,88389,9,0,1,[],[]
Applied Data Analysis,19704,6,0,1,[],[]
Workshop Applied Policy Analysis,19705,6,1,0,[],[]
Directed Study in EPP: Graduate,19700,0,1,1,[],[]
Quantitative Methods for Policy Analysis,19702,12,0,1,[],[]
Environment I: Climate & Energy,48315,9,1,0,[[811]],[]
Doctoral Dissertation,9871,5,1,1,[],[]
Business Technology Consulting,70453,9,0,1,[[45]],[]
Dramaturgy Research Hours,54300,1,0,1,[],[]
Calculus II,21112,10,1,1,[[111]],[]
Problem Solving in Recreational Mathematics,21110,9,0,1,[],[]
Calculus I,21111,10,1,1,[],[]
Flame II- Blowing Boro,62452,3,0,1,[],[]
The Rise of Modern Criticism,76869,12,0,1,[],[]
Core Course in Cell Biology,3746,6,1,0,[],[]
The Modern CIO,17628,6,1,0,[],[]
Membrane Trafficking,3744,9,0,1,[[324]],[]
Core Course in Biochemistry,3745,6,1,0,[],[]
Molecular Biology,3742,12,1,0,[[333]],[]
Advanced Cell Biology,3741,12,0,1,"[[3231, 3240], [3232, 3240]]",[]
Graduate Special Topics in Sound Design,54998,9,0,0,[],[]
Introduction to Hispanic Literary and Cultural Studies,82345,9,1,1,"[[82342], [82343]]",[]
DeXign the Future: Human Centered Innovation for Exponential Times,51855,12,1,1,[],[]
"Kinematics, Dynamic Systems and Control",16711,12,0,1,[],[]
Advanced Topics: Statistical Modeling for Spoken Dialog Systems,11757,12,1,0,[],[]
Design and Implementation of Speech Recognition Systems,11756,12,0,1,[],[]
Machine Learning for Signal Processing,11755,12,1,0,[],[]
Project Course: Dialogue Systems,11754,6,1,1,[],[]
Advanced Laboratory in Speech Recognition,11753,6,0,1,[],[]
"Speech II: Phonetics, Prosody, Perception and Synthesis",11752,12,0,1,[],[]
Speech Recognition and Understanding,11751,12,1,0,[],[]
Dramaturgy Production III,54588,1,0,1,[],[]
Logic and Proofs,80210,9,1,1,[],[]
Logic and Mathematical Inquiry,80211,9,1,0,[],[]
Foundation of Social Innovation and Enterprise,90811,6,1,0,[],[]
Population and Policy,90810,12,1,0,[],[]
Introduction to Migration Policy,90816,6,1,0,[],[]
Design Workshop II,51104,3,0,1,[],[]
Shaping Time in Performance,57954,9,0,1,[],[]
Design Studio II,51102,9,0,1,[[110]],[]
LTI Minor Project - Advanced,11590,12,1,1,[],[]
Design Studio I,51101,9,1,0,[],[]
"Privilege, Responsibility, and Community",99151,6,1,1,[],[]
Special Topics: German:,82521,3,1,0,[],[]
Special Topics: German,82522,3,0,0,"[[82427], [82428], [82429], [82430], [82431], [82435], [82436], [82437], [82438]]",[]
Studio Recording Laboratory,57952,6,1,0,[],[]
Freshman Mathematics Seminar:,21101,3,1,0,[],[]
Architecture and Design,96705,12,1,0,[],[]
Applied topics in Macromolecular and Biophysical Techniques,9535,9,0,1,"[[3121, 9214], [3121, 9345], [3121, 9347], [3231, 9214], [3231, 9345], [3231, 9347], [3232, 9214], [3232, 9345], [3232, 9347]]",[]
Interdisciplinary Undergraduate Research,99400,3,1,1,[],[]
Arabic for Global Exchange Online,82114,6,1,1,[],[]
Automation of Biological Research:,2450,9,1,0,[[512]],[]
Communication for Software Engineers II,17657,3,0,1,[],[]
Mathematics Course Design,21606,1,0,1,[],[]
Introduction to Recursion Theory,21604,12,0,1,[],[]
Teaching Mathematics,21605,2,1,0,[],[]
Introduction to Set Theory I,21602,12,1,0,[],[]
Model Theory I,21603,12,1,0,[],[]
Special Topics in Bipedal Locomotion Seminar,24892,0,1,0,[],[]
Keyboard Studies (Studio),57295,3,1,1,[],[]
Independent Study,90978,1,1,1,[],[]
Freshman Seminar:,80105,9,1,0,[],[]
Experimental Design for Behavioral and Social Sciences,36309,9,1,0,"[[36201], [36207], [36217], [36220], [36247]]",[]
Empirical Methods for Public Policy and Management,90711,12,1,1,[],[]
Introduction to Philosophy,80100,9,1,1,[],[]
Keyboard Studies (Studio),57296,3,1,1,[],[]
Study Abroad,85051,0,0,1,[],[]
"Sampling, Survey and Society",36303,9,0,1,"[[36202], [36208], [36226], [36309], [36625], [70208], [73261], [88250]]",[]
Fabricating Customization,48531,9,1,0,[[812]],[[840]]
Keyboard Studies (Studio),57297,3,1,1,[],[]
